prompt_id,method,scale_alpha,file,total_tokens,code_tokens,word_count,code_lines,pass_5_lines,pass_8_lines,pass_10_lines,pass_12_lines,pass_15_lines,syntax_valid
5,Additive vector,1.0,outputs/generations/compare_gemma_max/prompt_05_additive_scale10.txt,73,73,70,2,True,True,True,True,True,False
5,Additive vector,2.0,outputs/generations/compare_gemma_max/prompt_05_additive_scale20.txt,73,73,70,2,True,True,True,True,True,False
5,Multiplicative matrix,0.25,outputs/generations/compare_gemma_max/prompt_05_matrix_alpha025.txt,73,73,70,2,True,True,True,True,True,False
5,Multiplicative matrix,0.5,outputs/generations/compare_gemma_max/prompt_05_matrix_alpha05.txt,73,73,70,2,True,True,True,True,True,False
5,Multiplicative matrix,1.0,outputs/generations/compare_gemma_max/prompt_05_matrix_alpha10.txt,73,73,51,11,False,False,False,True,True,False
5,Multiplicative matrix,2.0,outputs/generations/compare_gemma_max/prompt_05_matrix_alpha20.txt,73,1,11,0,True,True,True,True,True,True
5,No steering,0.0,outputs/generations/compare_gemma_max/prompt_05_no_steering.txt,73,73,70,2,True,True,True,True,True,False
6,Additive vector,0.25,outputs/generations/compare_gemma_max/prompt_06_additive_scale025.txt,75,75,13,31,False,False,False,False,False,False
6,Additive vector,0.5,outputs/generations/compare_gemma_max/prompt_06_additive_scale05.txt,75,75,13,31,False,False,False,False,False,False
6,Additive vector,1.0,outputs/generations/compare_gemma_max/prompt_06_additive_scale10.txt,75,75,13,31,False,False,False,False,False,False
6,Additive vector,2.0,outputs/generations/compare_gemma_max/prompt_06_additive_scale20.txt,75,75,13,31,False,False,False,False,False,False
6,Multiplicative matrix,0.25,outputs/generations/compare_gemma_max/prompt_06_matrix_alpha025.txt,75,75,13,31,False,False,False,False,False,False
6,Multiplicative matrix,0.5,outputs/generations/compare_gemma_max/prompt_06_matrix_alpha05.txt,75,75,13,31,False,False,False,False,False,False
6,Multiplicative matrix,1.0,outputs/generations/compare_gemma_max/prompt_06_matrix_alpha10.txt,75,75,13,31,False,False,False,False,False,False
6,Multiplicative matrix,2.0,outputs/generations/compare_gemma_max/prompt_06_matrix_alpha20.txt,75,75,13,31,False,False,False,False,False,False
